x,y,u,v,psi,w
0.8282828282828284,0.0,0.0,0.0,0.0,0.12052961246119959
0.8383838383838385,0.0,0.0,0.0,0.0,0.10005507987941667
0.8484848484848485,0.0,0.0,0.0,0.0,0.08084838520277306
0.8585858585858587,0.0,0.0,0.0,0.0,0.06305367587358841
0.8686868686868687,0.0,0.0,0.0,0.0,0.04681238896625728
0.8787878787878789,0.0,0.0,0.0,0.0,0.03226132229930177
0.888888888888889,0.0,0.0,0.0,0.0,0.01953004807462468
0.8989898989898991,0.0,0.0,0.0,0.0,0.008737359057728046
0.9090909090909092,0.0,0.0,0.0,0.0,-1.3744603835351879e-05
0.9191919191919192,0.0,0.0,0.0,0.0,-0.006643330968536726
0.9292929292929294,0.0,0.0,0.0,0.0,-0.011105425264642723
